transaction_id,customer_id,transaction_amount,transaction_date
165,48,293.79,2023-09-05
166,362,109.37,2023-10-21
167,349,309.21,2023-05-27
168,131,270.13,2023-02-17
169,127,268.81,2023-02-16
170,316,71.77,2023-05-31
171,203,159.61,2023-06-15
172,431,239.1,2023-10-18
173,216,181.2,2023-01-09
174,291,110.52,2023-05-01
175,155,401.81,2023-07-29
176,243,38.1,2023-10-22
177,175,323.5,2023-01-30
178,280,287.44,2023-12-05
179,131,319.77,2023-02-16
180,131,496.64,2023-12-28
181,226,49.7,2023-10-22
182,252,150.74,2023-02-12
183,110,184.14,2023-02-24
184,313,49.06,2023-04-29
185,56,125.81,2023-06-13
186,135,231.29,2023-06-07
187,500,304.94,2023-09-28
188,442,462.34,2023-12-30
189,45,294.11,2023-03-27
190,427,482.09,2023-04-12
191,466,305.53,2023-06-27
192,30,13.18,2023-04-07
193,38,162.75,2023-12-31
194,309,457.56,2023-08-19
195,114,182.47,2023-12-28
196,90,359.86,2023-09-18
197,234,398.27,2023-12-26
198,118,46.26,2023-10-31
199,117,99.81,2023-11-30
200,420,73.86,2023-03-16
201,41,70.84,2023-05-03
202,139,57.06,2023-07-27
203,290,244.19,2023-09-24
204,6,46.79,2023-11-30
205,36,137.24,2023-11-01
206,373,278.94,2023-12-03
207,340,95.99,2023-01-28
208,390,284.42,2023-08-04
209,21,231.37,2023-01-01
210,404,354.67,2023-05-23
211,65,140.26,2023-08-06
212,29,238.61,2023-02-24
213,348,125.71,2023-01-01
214,361,48.94,2023-05-08
215,327,423.45,2023-04-06
216,137,259.68,2023-07-21
217,142,133.31,2023-03-15
218,81,414.33,2023-11-25
219,238,229.64,2023-10-03
220,107,221.99,2023-10-27
221,62,245.39,2023-01-23
222,70,395.95,2023-04-06
223,46,436.57,2023-08-31
224,434,133.31,2023-05-30
225,472,40.79,2023-08-13
226,175,369.48,2023-07-31
227,102,419.99,2023-06-07
228,388,330.1,2023-12-02
229,417,411.86,2023-11-11
230,275,149.83,2023-12-31
231,154,125.48,2023-04-01
232,226,350.35,2023-06-24
233,107,316.37,2023-03-13
234,119,147.75,2023-07-27
235,206,99.83,2023-02-21
236,133,498.28,2023-10-27
237,152,424.46,2023-11-25
238,97,135.4,2023-08-07
239,402,28.96,2023-06-15
240,77,166.13,2023-11-25
241,412,122.82,2023-05-10
242,477,426.08,2023-01-11
243,181,395.39,2023-06-15
244,18,264.07,2023-01-08
245,358,307.26,2023-09-05
246,271,496.43,2023-10-18
247,242,279.4,2023-06-10
248,464,139.29,2023-09-19
249,491,464.62,2023-04-23
250,97,123.23,2023-09-06
251,445,156.48,2023-06-22
252,247,327.65,2023-03-11
253,108,114.97,2023-01-18
254,410,480.7,2023-01-08
255,294,134.86,2023-08-07
256,120,74.12,2023-09-09
257,197,285.47,2023-12-20
258,420,377.39,2023-02-06
259,141,179.13,2023-10-13
260,292,316.8,2023-03-21
261,281,214.91,2023-03-26
262,282,176.91,2023-01-18
263,316,430.72,2023-07-28
264,7,247.64,2023-02-11
265,296,364.06,2023-02-09
266,375,46.69,2023-05-17
267,345,101.02,2023-05-26
268,72,384.81,2023-04-27
269,263,183.57,2023-08-15
270,37,206.87,2023-07-06
271,98,479.45,2023-12-08
272,143,114.97,2023-05-17
273,144,445.48,2023-10-25
274,454,160.3,2023-05-29
275,469,265.84,2023-11-27
276,139,300.95,2023-03-10
277,457,193.67,2023-05-10
278,260,259.3,2023-09-19
279,226,15.62,2023-04-13
280,34,190.06,2023-08-12
281,215,389.77,2023-01-22
282,233,327.24,2023-03-14
283,131,474.23,2023-01-26
284,311,394.34,2023-03-18
285,27,71.59,2023-10-02
286,186,376.62,2023-11-02
287,316,437,2023-12-28
288,409,410.3,2023-04-28
289,50,180.22,2023-11-25
290,262,311.89,2023-12-29
291,451,277.31,2023-08-09
292,61,29.01,2023-09-20
293,165,359.03,2023-08-01
294,137,107.07,2023-06-10
295,273,221.3,2023-06-21
296,233,326.45,2023-10-08
297,79,253.25,2023-08-19
298,292,31.06,2023-10-16
299,20,176.64,2023-07-27
300,400,341.54,2023-10-18
301,232,224.71,2023-03-04
302,26,156.41,2023-03-04
303,14,92.26,2023-04-11
304,459,203.12,2023-12-06
305,204,191.26,2023-12-06
306,483,259.26,2023-04-03
307,300,467.85,2023-06-12
308,96,420.82,2023-01-23
309,23,412.08,2023-06-21
310,400,240.61,2023-01-02
311,36,336.21,2023-09-29
312,446,193.63,2023-06-09
313,83,189.46,2023-03-08
314,77,93.4,2023-01-02
315,46,140.37,2023-07-04
316,485,375.74,2023-09-18
317,287,279.4,2023-05-03
318,13,280.07,2023-10-14
319,334,144.3,2023-11-20
320,160,240.72,2023-08-01
321,118,434.92,2023-05-02
322,285,343.53,2023-10-05
323,466,275.87,2023-07-07
324,8,173.88,2023-09-23
325,408,371.14,2023-01-23
326,262,317.8,2023-11-13
327,164,224.16,2023-09-30
328,389,315.37,2023-12-25
329,342,120.34,2023-08-17
330,364,442.45,2023-01-05
331,203,475.69,2023-07-25
332,200,59.79,2023-04-12
333,68,358.98,2023-10-16
334,214,426.99,2023-02-09
335,485,319.55,2023-11-15
336,10,106.51,2023-04-22
337,167,59.47,2023-05-01
338,486,322.34,2023-10-10
339,105,187.71,2023-10-20
340,287,458.34,2023-06-20
341,181,470.89,2023-04-19
342,463,217.45,2023-01-05
343,449,276.47,2023-11-03
344,483,474.18,2023-04-28
345,401,312.91,2023-12-25
346,252,397.51,2023-12-09
347,208,119.1,2023-09-03
348,391,188.24,2023-09-30
349,439,20.46,2023-07-02
350,310,441.78,2023-05-02
351,276,164.5,2023-04-14
352,100,357.28,2023-10-20
353,171,27.92,2023-09-26
354,93,411.13,2023-07-31
355,346,447.45,2023-04-10
356,401,424.51,2023-10-18
357,484,422.46,2023-10-10
358,119,86.34,2023-02-25
359,263,374.53,2023-06-02
360,310,272.67,2023-11-25
361,6,362.67,2023-10-29
362,440,168.63,2023-02-01
363,347,261.53,2023-06-19
364,73,27.51,2023-03-15
365,7,69,2023-10-03
366,70,144.96,2023-10-29
367,51,297.55,2023-08-03
368,447,488.67,2023-07-06
369,325,477.67,2023-01-19
370,285,195.13,2023-06-17
371,133,171.7,2023-07-14
372,243,208.76,2023-01-01
373,471,101.6,2023-09-01
374,389,36.27,2023-09-24
375,49,166.86,2023-06-24
376,159,287.58,2023-09-03
377,105,476.76,2023-07-10
378,37,185.46,2023-01-20
379,125,299.81,2023-08-25
380,456,94.86,2023-08-29
381,321,199.42,2023-10-13
382,268,57.26,2023-09-04
383,451,350.09,2023-05-07
384,426,150.55,2023-05-27
385,136,248.87,2023-12-18
386,68,258.99,2023-06-15
387,227,235.05,2023-07-19
388,48,411.22,2023-06-21
389,156,286.07,2023-01-15
390,184,115.9,2023-09-21
391,264,322.78,2023-11-01
392,478,463.73,2023-01-22
393,231,394.2,2023-06-20
394,185,73.51,2023-01-03
395,20,45.51,2023-02-06
396,226,378.67,2023-05-04
397,283,424.98,2023-05-04
398,78,34.62,2023-07-06
399,304,222.52,2023-05-02
400,45,214.65,2023-04-14
401,221,95.2,2023-09-26
402,387,185.98,2023-07-06
403,88,213.49,2023-05-19
404,170,364.1,2023-05-08
405,341,376.6,2023-02-28
406,327,463.92,2023-08-10
407,216,412.72,2023-12-23
408,455,371.74,2023-10-23
409,307,212.61,2023-03-06
410,247,136.43,2023-06-25
411,15,62.44,2023-01-02
412,43,209.68,2023-08-15
413,258,37.31,2023-12-11
414,466,486.68,2023-04-12
415,123,81.99,2023-03-10
416,104,281.16,2023-07-08
417,325,333.7,2023-12-21
418,178,62.36,2023-07-30
419,476,499.93,2023-09-19
420,291,53.83,2023-01-07
421,478,407.01,2023-01-14
422,265,133.01,2023-11-12
423,444,32.31,2023-08-14
424,261,141.71,2023-06-14
425,9,273.05,2023-03-14
426,130,476.98,2023-12-31
427,36,153.72,2023-11-01
428,164,401.65,2023-03-13
429,312,464.21,2023-05-24
430,468,354.04,2023-07-07
431,396,422.44,2023-04-02
432,450,172.19,2023-03-12
433,241,208.17,2023-05-04
434,80,50.42,2023-11-22
435,320,405.12,2023-10-26
436,407,48.84,2023-02-26
437,186,448.32,2023-03-13
438,220,319.25,2023-01-12
439,413,126.8,2023-08-05
440,389,322.64,2023-06-18
441,430,99.1,2023-02-02
442,326,464.78,2023-08-20
443,264,124.58,2023-03-05
444,350,454,2023-09-20
445,408,203.81,2023-05-26
446,336,255.05,2023-04-16
447,320,481.76,2023-04-23
448,466,332.12,2023-02-26
449,40,285.46,2023-02-07
450,491,190.81,2023-10-20
451,160,497.88,2023-02-17
452,385,490.77,2023-02-03
453,199,362.32,2023-04-10
454,421,483.5,2023-05-23
455,108,109.42,2023-04-05
456,421,311.89,2023-08-30
457,434,356.31,2023-11-17
458,307,223.67,2023-01-08
459,195,270.84,2023-11-08
460,286,77.66,2023-02-14
461,141,97.92,2023-07-28
462,256,319.02,2023-02-13
463,345,391.53,2023-09-16
464,453,154.28,2023-09-27
465,242,237.61,2023-11-27
466,327,102.1,2023-08-16
467,344,456.42,2023-09-27
468,422,194.52,2023-09-11
469,111,34.13,2023-06-25
470,251,263.87,2023-09-06
471,15,169.39,2023-05-19
472,226,127.85,2023-09-25
473,80,153.94,2023-05-12
474,143,421.9,2023-06-06
475,56,291.71,2023-06-09
476,499,294.14,2023-08-19
477,7,328.68,2023-02-14
478,108,154.63,2023-09-21
479,151,433.51,2023-11-18
480,242,88.61,2023-10-06
481,248,85.74,2023-02-19
482,191,402.05,2023-02-20
483,144,473.67,2023-06-22
484,150,238.74,2023-04-20
485,372,88.39,2023-05-31
486,18,136.53,2023-05-27
487,416,100.11,2023-02-16
488,111,369.22,2023-08-09
489,256,407.62,2023-04-21
490,55,349.66,2023-08-19
491,320,349.78,2023-07-19
492,439,281.42,2023-12-16
493,35,434.84,2023-07-30
494,227,494.23,2023-03-20
495,458,103.76,2023-10-03
496,208,308.11,2023-11-04
497,206,155.53,2023-04-07
498,187,206.43,2023-07-13
499,373,142.17,2023-05-10
500,61,411.08,2023-07-17
501,434,171.46,2023-06-25
502,37,24.15,2023-05-04
503,32,95.41,2023-11-13
504,422,282.18,2023-06-04
505,340,203.28,2023-05-05
506,309,265.91,2023-09-21
507,495,483.7,2023-03-15
508,294,402.44,2023-03-20
509,407,97.05,2023-08-02
510,37,185.26,2023-04-11
511,135,211.64,2023-10-06
512,57,274.47,2023-07-25
513,136,303.38,2023-04-05
514,304,301.94,2023-09-22
515,12,60.32,2023-12-16
516,265,62.43,2023-04-15
517,127,339.28,2023-09-15
518,479,256.47,2023-04-05
519,307,368.2,2023-02-17
520,208,23.81,2023-03-12
521,173,498.95,2023-04-26
522,79,163.98,2023-02-11
523,302,225.46,2023-03-24
524,80,14.5,2023-09-27
525,180,339.04,2023-09-13
526,8,360.41,2023-01-09
527,429,481.2,2023-03-31
528,237,322.59,2023-03-08
529,266,464.88,2023-10-17
530,331,110.87,2023-02-16
531,370,66.84,2023-03-19
532,457,164.91,2023-04-03
533,308,168.27,2023-09-22
534,187,415.68,2023-04-22
535,22,311.63,2023-08-11
536,360,353.3,2023-02-11
537,213,69.63,2023-09-23
538,448,324.02,2023-05-19
539,96,213.57,2023-04-07
540,327,167.01,2023-06-15
541,420,348,2023-07-15
542,282,266.43,2023-06-18
543,387,423.41,2023-01-13
544,253,81.13,2023-03-15
545,262,479.29,2023-09-13
546,220,284.38,2023-05-27
547,16,317.01,2023-05-16
548,473,312.23,2023-02-10
549,303,385.6,2023-09-11
550,136,146.23,2023-09-29
551,89,127.01,2023-04-05
552,499,84.61,2023-10-22
553,490,165.89,2023-12-01
554,287,329.2,2023-09-16
555,240,418.44,2023-02-03
556,455,492.5,2023-03-15
557,199,392.55,2023-03-22
558,123,476.92,2023-12-05
559,417,122.2,2023-08-31
560,442,313.53,2023-12-11
561,167,422.14,2023-06-27
562,385,338.74,2023-10-18
563,398,23.03,2023-03-03
564,497,11.38,2023-02-03
565,339,360.59,2023-11-23
566,437,106.52,2023-09-16
567,194,422.8,2023-11-27
568,203,297.71,2023-09-19
569,246,132.59,2023-07-11
570,116,373,2023-04-29
571,53,328.37,2023-04-06
572,360,24.21,2023-08-12
573,125,31.04,2023-06-24
574,59,402.16,2023-07-31
575,61,294.37,2023-06-24
576,18,105.92,2023-09-08
577,315,426.63,2023-11-01
578,455,379.92,2023-05-14
579,106,266.22,2023-11-24
580,437,204.57,2023-06-17
581,68,113.52,2023-11-01
582,228,34,2023-07-13
583,167,185.82,2023-09-09
584,269,372.75,2023-10-17
585,274,464.66,2023-09-16
586,22,83.56,2023-08-16
587,375,83.47,2023-03-09
588,357,30.15,2023-01-02
589,459,458.11,2023-03-17
590,302,344.03,2023-12-30
591,328,37.17,2023-01-14
592,153,172.92,2023-01-29
593,257,421.09,2023-01-30
594,208,288.17,2023-07-13
595,462,188.13,2023-09-07
596,269,283.66,2023-10-20
597,56,153.08,2023-04-23
598,474,481.08,2023-05-01
599,492,315.11,2023-07-27
600,27,463.9,2023-12-26
601,102,42.53,2023-10-18
602,129,153.4,2023-10-05
603,37,346.64,2023-02-22
604,250,293.02,2023-01-22
605,148,297.18,2023-08-10
606,444,292.82,2023-09-22
607,403,456.48,2023-08-06
608,210,67.38,2023-04-28
609,52,114.8,2023-06-10
610,499,285.56,2023-04-27
611,245,282.6,2023-02-15
612,1,495.83,2023-07-08
613,469,93.89,2023-03-08
614,70,197.35,2023-12-08
615,69,155.82,2023-11-25
616,109,63.19,2023-02-23
617,341,182.8,2023-01-17
618,296,318.42,2023-05-27
619,172,257.37,2023-08-18
620,7,138.62,2023-07-13
621,9,102,2023-02-27
622,166,374.89,2023-05-30
623,114,495.82,2023-05-18
624,197,105.59,2023-05-22
625,467,128.4,2023-01-21
626,284,75.03,2023-11-10
627,111,449.01,2023-12-24
628,116,298.84,2023-07-04
629,362,332.58,2023-11-02
630,313,286.2,2023-08-22
631,185,380.12,2023-06-17
632,47,488.78,2023-12-27
633,468,294.33,2023-05-24
634,141,28.96,2023-10-06
635,61,98.03,2023-04-17
636,451,418.91,2023-06-27
637,191,364.48,2023-01-23
638,283,281.18,2023-08-26
639,24,94.3,2023-08-02
640,176,130.54,2023-04-20
641,248,28.62,2023-11-16
642,189,205.03,2023-10-18
643,493,320.71,2023-11-01
644,447,88.43,2023-10-27
645,466,276.89,2023-06-20
646,205,106.45,2023-07-10
647,279,115.85,2023-02-28
648,219,339.53,2023-04-14
649,221,362.58,2023-07-22
650,489,244.68,2023-07-08
651,398,118.1,2023-11-08
652,416,275.63,2023-10-13
653,203,422.47,2023-01-16
654,318,197.09,2023-03-08
655,148,333.06,2023-05-05
656,423,109.2,2023-03-12
657,282,259.44,2023-04-20
658,415,186.22,2023-11-06
659,345,405.93,2023-07-24
660,281,29.47,2023-09-30
661,173,197.64,2023-11-07
662,4,323.18,2023-06-14
663,459,55.13,2023-10-13
664,164,141.28,2023-09-09
665,222,151.26,2023-07-01
666,447,455.99,2023-08-31
667,2,249.97,2023-06-08
668,382,339.26,2023-08-28
669,23,42.26,2023-10-24
670,340,154.61,2023-03-07
671,93,282.92,2023-08-02
672,186,304.94,2023-05-26
673,164,266.37,2023-05-25
674,293,108.82,2023-10-25
675,121,446.03,2023-11-30
676,348,98.88,2023-08-07
677,118,468.28,2023-03-20
678,29,30.79,2023-10-19
679,317,346.44,2023-06-24
680,493,176.93,2023-05-08
681,40,446.23,2023-11-20
682,182,40.47,2023-01-14
683,452,335.69,2023-03-30
684,164,398.69,2023-08-10
685,355,295.24,2023-04-21
686,441,285.03,2023-11-01
687,297,116.51,2023-02-08
688,129,349.89,2023-10-21
689,259,59.78,2023-11-17
690,305,484.84,2023-01-09
691,39,207.16,2023-10-06
692,308,56.65,2023-12-23
693,80,460.08,2023-02-13
694,243,274.12,2023-10-24
695,343,417.14,2023-04-22
696,240,217.63,2023-04-01
697,269,446.26,2023-11-09
698,404,379.31,2023-10-22
699,229,421.82,2023-01-28
700,368,424.3,2023-07-13
701,101,79.48,2023-08-31
702,199,107.98,2023-11-09
703,49,309.12,2023-10-24
704,139,385.87,2023-06-15
705,308,315.64,2023-04-13
706,492,177.61,2023-06-23
707,296,36.81,2023-04-17
708,98,431.09,2023-10-14
709,457,193.12,2023-03-03
710,433,39.32,2023-02-01
711,377,283.96,2023-03-03
712,24,144.41,2023-08-05
713,206,396.34,2023-04-18
714,144,465.48,2023-10-10
715,428,192.61,2023-05-15
716,245,27.22,2023-09-17
717,265,33.41,2023-01-19
718,466,306.31,2023-02-17
719,31,231.94,2023-10-23
720,26,433.85,2023-10-25
721,203,285.41,2023-05-21
722,380,40.97,2023-11-28
723,351,360.32,2023-06-18
724,190,94.55,2023-05-28
725,302,385.72,2023-07-26
726,314,193.98,2023-03-19
727,326,125.05,2023-11-25
728,48,59.19,2023-08-28
729,312,33.96,2023-08-04
730,140,324.38,2023-02-13
731,336,499.14,2023-06-18
732,205,484.92,2023-08-23
733,420,294.29,2023-12-10
734,373,196.56,2023-07-04
735,342,435.2,2023-07-06
736,67,243.49,2023-02-02
737,433,247.41,2023-10-22
738,113,279.56,2023-04-27
739,474,352.44,2023-01-22
740,37,431.97,2023-11-22
741,116,78.46,2023-07-07
742,39,268.2,2023-10-13
743,110,451.56,2023-05-09
744,58,85.08,2023-10-02
745,260,64.86,2023-02-19
746,228,68.89,2023-11-23
747,494,129.34,2023-05-19
748,272,216.38,2023-12-03
749,69,324.9,2023-05-09
750,287,373.46,2023-08-13
751,422,304.75,2023-11-12
752,486,166.93,2023-02-18
753,280,36.16,2023-06-19
754,94,108.24,2023-01-02
755,29,148.87,2023-01-29
756,219,267.85,2023-09-06
757,231,147.75,2023-05-22
758,43,138.6,2023-07-19
759,13,74.34,2023-03-12
760,52,437.44,2023-07-09
761,48,361.69,2023-09-09
762,159,324.62,2023-03-03
763,49,153.48,2023-03-15
764,159,147.03,2023-11-10
765,75,311.99,2023-07-27
766,149,307.39,2023-03-10
767,75,387.55,2023-08-12
768,253,109.91,2023-03-11
769,208,178.05,2023-12-18
770,404,391.62,2023-12-06
771,1,36.8,2023-05-20
772,200,27.25,2023-05-08
773,244,365.64,2023-10-25
774,392,202.99,2023-03-31
775,196,194.31,2023-02-26
776,242,459.93,2023-12-22
777,124,308.7,2023-09-21
778,292,201.39,2023-04-16
779,364,326.48,2023-04-22
780,4,378.66,2023-04-18
781,395,167.28,2023-07-29
782,227,174.31,2023-08-07
783,287,95.37,2023-07-04
784,354,437.21,2023-06-14
785,457,427.62,2023-01-14
786,385,359.06,2023-04-20
787,171,216.37,2023-10-23
788,284,137.72,2023-08-25
789,433,122.84,2023-07-27
790,402,327.17,2023-12-11
791,246,190.35,2023-10-02
792,416,300.15,2023-12-23
793,62,425.63,2023-04-19
794,314,354.69,2023-06-01
795,333,144.23,2023-11-05
796,472,263.99,2023-01-19
797,428,388.76,2023-08-03
798,33,189.07,2023-08-21
799,251,297.23,2023-06-29
800,415,238.16,2023-02-25
801,123,157.08,2023-11-16
802,75,393.72,2023-07-21
803,238,368.99,2023-07-08
804,12,285.53,2023-12-26
805,84,27.95,2023-10-20
806,28,242.96,2023-12-20
807,154,436.05,2023-11-29
808,207,246.38,2023-01-08
809,242,91.8,2023-05-02
810,324,310.45,2023-05-07
811,60,348.56,2023-12-09
812,347,184.39,2023-11-08
813,210,248.84,2023-09-14
814,488,48.63,2023-03-26
815,359,49.37,2023-01-17
816,284,353.09,2023-11-30
817,27,190.94,2023-06-07
818,41,46.83,2023-07-23
819,207,461.12,2023-07-08
820,115,421.81,2023-03-04
821,34,497.69,2023-05-13
822,76,268.29,2023-02-06
823,5,400.94,2023-03-18
824,27,108.44,2023-03-24
825,481,195.98,2023-11-20
826,298,237.83,2023-02-24
827,145,12.92,2023-11-25
828,179,243.68,2023-10-02
829,378,111.67,2023-05-11
830,211,89.9,2023-05-30
831,4,262.24,2023-05-31
832,334,253.73,2023-08-16
833,226,124.26,2023-09-19
834,138,162.71,2023-07-07
835,128,401.97,2023-06-28
836,305,212.09,2023-06-29
837,402,123.69,2023-02-07
838,294,449.88,2023-07-05
839,376,390.04,2023-04-25
840,205,400.35,2023-03-22
841,41,104.66,2023-01-28
842,469,427.76,2023-10-04
843,180,198.95,2023-08-19
844,148,292.26,2024-01-01
845,72,38.72,2023-06-02
846,220,173.85,2023-08-24
847,85,447.74,2023-01-24
848,237,381.06,2023-06-17
849,119,440.74,2023-12-11
850,82,151.9,2023-08-13
851,480,135.93,2023-06-09
852,140,15.04,2023-12-01
853,272,467.87,2023-07-23
854,118,21.32,2023-10-02
855,68,395.31,2023-02-08
856,467,281.73,2023-03-01
857,116,465.47,2023-02-28
858,347,403.34,2023-11-09
859,78,396.63,2023-06-27
860,484,272.11,2023-07-29
861,306,359.15,2023-09-30
862,261,335.84,2023-03-01
863,3,140.72,2023-12-15
864,461,421.98,2023-04-28
865,300,298.76,2023-04-21
866,104,157.71,2023-07-27
867,340,239.41,2023-10-24
868,256,300.7,2023-10-14
869,167,57.41,2023-09-21
870,10,64.77,2023-06-11
871,4,202.43,2023-02-01
872,418,334.26,2023-05-24
873,220,86.78,2023-02-28
874,391,121.18,2023-09-08
875,294,377.86,2023-10-06
876,158,59.58,2023-05-20
877,38,307,2023-07-05
878,9,133.47,2023-01-02
879,230,95.23,2023-02-04
880,102,135.99,2023-09-08
881,34,455.98,2023-02-26
882,93,492.3,2023-07-31
883,244,97.89,2023-04-12
884,71,427.84,2023-05-17
885,314,269.73,2023-10-12
886,276,498.09,2023-07-26
887,486,74.84,2023-08-10
888,273,52.11,2023-05-20
889,147,261.82,2023-02-01
890,123,479.13,2023-12-30
891,312,428.39,2023-01-27
892,41,342.91,2023-07-19
893,447,371.02,2023-01-03
894,138,374.86,2023-04-29
895,256,354.93,2023-02-14
896,280,491.39,2023-09-05
897,345,377.43,2023-06-21
898,243,180.94,2023-02-05
899,218,277.14,2023-04-03
900,93,76.26,2023-12-29
901,421,314.16,2023-06-30
902,402,204.03,2023-04-12
903,162,335.97,2023-01-03
904,54,231.42,2023-10-26
905,117,455.74,2023-12-14
906,136,464.55,2023-08-24
907,310,185.76,2023-08-15
908,344,26.49,2023-07-13
909,305,479.16,2023-02-06
910,214,10.47,2023-06-04
911,284,78.86,2023-11-13
912,372,235.49,2023-06-27
913,459,114.35,2023-05-28
914,144,426.31,2023-09-22
915,330,181.52,2023-08-11
916,78,301.04,2023-01-12
917,296,199.13,2023-11-12
918,480,422.84,2023-07-27
919,46,210.69,2023-04-17
920,478,211.36,2023-10-14
921,221,161.77,2023-04-05
922,98,356.74,2023-03-10
923,318,308.55,2023-09-19
924,307,333.57,2023-02-20
925,267,390.24,2023-08-10
926,320,248.12,2023-05-12
927,143,59.79,2023-01-02
928,90,55.31,2023-09-13
929,284,399.85,2023-07-07
930,434,357.25,2023-07-17
931,410,286.86,2023-10-06
